pair,column,n,mean,std,min,max,range,median,nonzero_ratio,invalid_n,zero_n,nearzero_ratio,unexplained_zero_n,invalid_nonzero_n,valid_n,valid_mean,valid_std,valid_min,valid_max,valid_range,valid_median,valid_nonzero_ratio,pseudo_stable,strong_segment_ratio
H2OC_mmol_mol / sh_g_kg,H2OC_mmol_mol__sh_g_kg__correlation,267,0.999950074789785,0.000106103768748814,0.998831031115733,0.999998397408131,0.00116736629239844,0.999979856984773,1,0,0,0,0,0,267,0.999950074789785,0.000106103768748814,0.998831031115733,0.999998397408131,0.00116736629239844,0.999979856984773,1,False,1
H2OC_mmol_mol / VPact_mbar,H2OC_mmol_mol__VPact_mbar__correlation,267,0.99955658355075,0.00103660661362161,0.991918139689894,0.99999449693802,0.00807635724812639,0.999854295258304,1,0,0,0,0,0,267,0.99955658355075,0.00103660661362161,0.991918139689894,0.99999449693802,0.00807635724812639,0.999854295258304,1,False,1
VPact_mbar / sh_g_kg,VPact_mbar__sh_g_kg__correlation,267,0.999532018601519,0.00107775473585465,0.991873370923635,0.999993917608808,0.00812054668517281,0.999842268710127,1,0,0,0,0,0,267,0.999532018601519,0.00107775473585465,0.991873370923635,0.999993917608808,0.00812054668517281,0.999842268710127,1,False,1
Tdew_degC / VPact_mbar,Tdew_degC__VPact_mbar__correlation,267,0.998887090398098,0.00110017712470702,0.99156669480044,0.999898216086911,0.00833152128647041,0.999172681218513,1,0,0,0,0,0,267,0.998887090398098,0.00110017712470702,0.99156669480044,0.999898216086911,0.00833152128647041,0.999172681218513,1,False,1
Tdew_degC / H2OC_mmol_mol,Tdew_degC__H2OC_mmol_mol__correlation,267,0.998444239819758,0.00141211115926582,0.990228586860912,0.999809859553474,0.00958127269256115,0.998842602434609,1,0,0,0,0,0,267,0.998444239819758,0.00141211115926582,0.990228586860912,0.999809859553474,0.00958127269256115,0.998842602434609,1,False,1
Tdew_degC / sh_g_kg,Tdew_degC__sh_g_kg__correlation,267,0.998404009941161,0.00143487835695035,0.990175786862081,0.999795163496149,0.0096193766340682,0.99881509563506,1,0,0,0,0,0,267,0.998404009941161,0.00143487835695035,0.990175786862081,0.999795163496149,0.0096193766340682,0.99881509563506,1,False,1
VPmax_mbar / T_degC,VPmax_mbar__T_degC__correlation,267,0.99723496754211,0.00222523838513818,0.9847208831101,0.999855593573424,0.0151347104633243,0.997838835861435,1,0,0,0,0,0,267,0.99723496754211,0.00222523838513818,0.9847208831101,0.999855593573424,0.0151347104633243,0.997838835861435,1,False,1
SWDR_W_m / PAR_mol_m_s,SWDR_W_m__PAR_mol_m_s__correlation,267,0.999063102019887,0.00245912759897435,0.970919317814676,0.999915583484842,0.028996265670166,0.999544750421596,1,0,0,0,0,0,267,0.999063102019887,0.00245912759897435,0.970919317814676,0.999915583484842,0.028996265670166,0.999544750421596,1,False,1
max_PAR_mol_m_s / PAR_mol_m_s,max_PAR_mol_m_s__PAR_mol_m_s__correlation,267,0.976116454911648,0.0222265326877624,0.904155480348314,0.999899103068178,0.095743622719864,0.98253763577871,1,0,0,0,0,0,267,0.976116454911648,0.0222265326877624,0.904155480348314,0.999899103068178,0.095743622719864,0.98253763577871,1,False,1
SWDR_W_m / max_PAR_mol_m_s,SWDR_W_m__max_PAR_mol_m_s__correlation,267,0.974327857366163,0.0230949571725477,0.900550998104069,0.999865447263718,0.0993144491596494,0.981230674144245,1,0,0,0,0,0,267,0.974327857366163,0.0230949571725477,0.900550998104069,0.999865447263718,0.0993144491596494,0.981230674144245,1,False,1
